CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
lovers quarrell,,"lovers quarrell, ",Couple fight,,,,
bound floater,examined and released,"bound floater, examined and released",,,,,
lovers quarrel,,"lovers quarrel, ",Couple fight,,,,
Floater w/stake,no perp ided,"Floater w/stake, no perp ided",,,,,
Poison,"acquitted at trial, Alta said innocent","Poison, acquitted at trial, Alta said innocent",,,,,
triangle,Guilty but pardoned by Gov.,"triangle, Guilty but pardoned by Gov.",,,,,
land,,"land, ",,,,,
Skull crushed,,"Skull crushed, ",,,,,
crimp hit in head,,"crimp hit in head, ",,,,,
Fight,,"Fight, ",,,,,
saloon dispute,,"saloon dispute, ",,,Saloon,,
lovers quarrel,,"lovers quarrel, ",Couple fight,,,,
shootout ovr insult,later acquitted,"shootout ovr insult, later acquitted",,,,,
Police,,"Police, ",,,,,
Floater throat cut,,"Floater throat cut, ",,,,,
lovers quarrel,,"lovers quarrel, ",Couple fight,,,,
lovers quarrel,,"lovers quarrel, ",Couple fight,,,,
argu over baby,Gay? Says lovers quarrel,"argu over baby, Gay? Says lovers quarrel",Couple fight,,,,
Floater Throat cut,,"Floater Throat cut, ",,,,,
Brothel (saloon),,"Brothel (saloon), ",,,Saloon,,
Domestic Triangle,Chief suspect later murdered,"Domestic Triangle, Chief suspect later murdered",Domestic,,,,
Domestic (Suspect Suicide),perp dead,"Domestic (Suspect Suicide), perp dead",Domestic,,,,
poisoned in house,,"poisoned in house, ",,,,,
Landlord tenant,,"Landlord tenant, ",,,,,
domestic,,"domestic, ",Domestic,,,,
pushed off rigging,,"pushed off rigging, ",,,,,
Duel,,"Duel, ",,,,,
Drunk over cards,,"Drunk over cards, ",,,,,
land acquitted,,"land acquitted, ",,,,,
sentence info 2yrs,date to Q.,"sentence info 2yrs, date to Q.",,,,,
Duel,,"Duel, ",,,,,
Triangle,guil mansl 12/31/53,"Triangle, guil mansl 12/31/53",,,,,
land dispute,,"land dispute, ",,,,,
Domestic,husband,"Domestic, husband",Domestic,,,,
Laundry ticket,,"Laundry ticket, ",,,,,
Dispute,,"Dispute, ",,,,,
"Land, convicted",mans. Cal Chron 12/30/54,"Land, convicted, mans. Cal Chron 12/30/54",,,,,
affray,Valencia's house - acquitted,"affray, Valencia's house - acquitted",,,,,
land dispute,,"land dispute, ",,,,,
Bar fight,3 years Mans.,"Bar fight, 3 years Mans.",,,,,
Hanged,,"Hanged, ",,,,,
drunk sword cane,3 years Alt 6/25/54 says too lite,"drunk sword cane, 3 years Alt 6/25/54 says too lite",,,,,
Domestic,,"Domestic, ",Domestic,,,,
Domestic,,"Domestic, ",Domestic,,,,
duel,,"duel, ",,,,,
land dispute,Cal ch 12/30/54,"land dispute, Cal ch 12/30/54",,,,,
Land dispute,,"Land dispute, ",,,,,
Land dispute,squatter trouble,"Land dispute, squatter trouble",,,,,
from prison register,,"from prison register, ",,,,,
,found murdered (1854list),", found murdered (1854list)",,,,,
,murdered in SF,", murdered in SF",,,,,
"saloon,literary",,"saloon,literary, ",,,Saloon,,
"saloon, gamble debt",escaped to Sandwich,"saloon, gamble debt, escaped to Sandwich",,Gamble,Saloon,,
Domestic,,"Domestic, ",Domestic,,,,
money dispute,convict 3/7 ch 12/29/55,"money dispute, convict 3/7 ch 12/29/55",,,,,
senseless,,"senseless, ",,,,,
revenge,on Market,"revenge, on Market",,,,,
Grudge,to hang bu 3/19/56,"Grudge, to hang bu 3/19/56",,,,,
,same case?,", same case?",,,,,
Brace also,,"Brace also, ",,,,,
Domestic,5 yrs. Bu 3/1/62,"Domestic, 5 yrs. Bu 3/1/62",Domestic,,,,
wrong date Domestic,trial 9/4/62 not guilty,"wrong date Domestic, trial 9/4/62 not guilty",Domestic,,,,
family domestic,sentiecing info Plus,"family domestic, sentiecing info Plus",Domestic,,,,
Over woman,,"Over woman, ",,,,,
hanged 7/6/66 domestic,most chinese not in directory,"hanged 7/6/66 domestic, most chinese not in directory",Domestic,,,,
,released Bu 8/6/56,", released Bu 8/6/56",,,,,
Gamble saloon,Bu 2/1/56,"Gamble saloon, Bu 2/1/56",,Gamble,Saloon,,
Running dispute hanged,,"Running dispute hanged, ",,,,,
drunk- family (domestic),soldier,"drunk- family (domestic), soldier",Domestic,,,,
special cop domestic,,"special cop domestic, ",Domestic,,,,
steward,Last week,"steward, Last week",,,,,
went insane,Wife probably killed him,"went insane, Wife probably killed him",,,,,
affray,,"affray, ",,,,,
Dirty water see gong,sentence 10yrs 8/26/56,"Dirty water see gong, sentence 10yrs 8/26/56",,,,,
 sus 801 domestic,end of domestic violence case?," sus 801 domestic, end of domestic violence case?",Domestic,,,,
sus 801 domestic,kills drunk abusive wife 23 cuts,"sus 801 domestic, kills drunk abusive wife 23 cuts",Domestic,,,,
business background,,"business background, ",,,,,
prostitute murder,couldn't prove it,"prostitute murder, couldn't prove it",,,,,
Poisoned,so says Coroner's Jury,"Poisoned, so says Coroner's Jury",,,,,
domestic,,"domestic, ",Domestic,,,,
sleeve buttoned up,Cororner said suicide imposs.,"sleeve buttoned up, Cororner said suicide imposs.",,,,,
mate kicked,Coroner jury so ruled,"mate kicked, Coroner jury so ruled",,,,,
mom killed child,,"mom killed child, ",,,,,
poisoned,Charges dismissed but....,"poisoned, Charges dismissed but....",,,,,
sus 801domestic,errant wife,"sus 801domestic, errant wife",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
Drunken street dispute,,"Drunken street dispute, ",,,,,
prostitute murder,,"prostitute murder, ",,,,,
Woman?,"2nd degree, 10/29/57 Bu","Woman?, 2nd degree, 10/29/57 Bu",,,,,
Quarrel,friends,"Quarrel, friends",,,,,
drunken,sus Jingles Phelan,"drunken, sus Jingles Phelan",,,,,
domestic violence,,"domestic violence, ",Domestic,,,,
 In dancing cellar,hang 12/14/58 see file," In dancing cellar, hang 12/14/58 see file",,,,,
,sentencing info,", sentencing info",,,,,
,sentencing info,", sentencing info",,,,,
Sus 801domestic,she danced w/ Antonio at ball,"Sus 801domestic, she danced w/ Antonio at ball",Domestic,,,,
,sentencing info,", sentencing info",,,,,
she prostitute/domestic/ drunk,2/19/78 Nice acquit. direct,"she prostitute/domestic/ drunk, 2/19/78 Nice acquit. direct",Domestic,,,,
acquitted,Moulton  shot cop in 57see file,"acquitted, Moulton  shot cop in 57see file",,,,,
,hanged 6/11/59,", hanged 6/11/59",,,,,
,former cop did it.,", former cop did it.",,,,,
Sailors,shell game ?,"Sailors, shell game ?",,,,,
Irate father,vic spec cop,"Irate father, vic spec cop",,,,,
domestic viol,trial 10/24/25/26./77 byram,"domestic viol, trial 10/24/25/26./77 byram",Domestic,,,,
prostitute strangled,see file,"prostitute strangled, see file",,,,,
saloon wrong date,,"saloon wrong date, ",,,Saloon,,
Domes/Insane,"executed Mar 1,1861","Domes/Insane, executed Mar 1,1861",,,,,
scissors outside saloon,,"scissors outside saloon, ",,,Saloon,,
third party to beef,,"third party to beef, ",,,,,
saloon,,"saloon, ",,,Saloon,,
brothel / saloon by pro,in brothel life sentence,"brothel / saloon by pro, in brothel life sentence",,,Saloon,,
domestic,acquit trial 3,"domestic, acquit trial 3",Domestic,,,,
domestic,10/17 directory gets life,"domestic, 10/17 directory gets life",Domestic,,,,
(Mock date) escapee later hanged in LA,later reference,"(Mock date) escapee later hanged in LA, later reference",,,,,
vic employer sailor board,Executed Sept 21,"vic employer sailor board, Executed Sept 21",,,,,
Street fight,mansl indict is source,"Street fight, mansl indict is source",,,,,
kill blac emp.(said kill 25K irishmen),hung jury 11to 1 a nut?,"kill blac emp.(said kill 25K irishmen), hung jury 11to 1 a nut?",,,,,
mass killing,went east,"mass killing, went east",,,,,
mass killing,,"mass killing, ",,,,,
mass killing,,"mass killing, ",,,,,
Jealous wif killer,1st degree jury said mercy disgrace,"Jealous wif killer, 1st degree jury said mercy disgrace",,,,,
hint pre-meditated,Death. compare wi Harrigan,"hint pre-meditated, Death. compare wi Harrigan",,,,,
running dispute,,"running dispute, ",,,,,
insulted wife,trial in Auborn Bu 7/11/61,"insulted wife, trial in Auborn Bu 7/11/61",,,,,
,sentencing info,", sentencing info",,,,,
over food on steamer by cook,,"over food on steamer by cook, ",,,,,
Barber,ten years,"Barber, ten years",,,,,
Teamster dispute Oct 8,trial account second degree convict,"Teamster dispute Oct 8, trial account second degree convict",,,,,
domestic,ten years call 12/31,"domestic, ten years call 12/31",Domestic,,,,
sus 801 domestic,,"sus 801 domestic, ",Domestic,,,,
domestic,aka Messercschmidt? 1st dg,"domestic, aka Messercschmidt? 1st dg",Domestic,,,,
domestic,getting divorce CA 6/17/79 he lost money,"domestic, getting divorce CA 6/17/79 he lost money",Domestic,,,,
in washoouse,Both See Yup sent.8/25/62,"in washoouse, Both See Yup sent.8/25/62",,,,,
domestic,shoots wife guilty ch 6/29/80,"domestic, shoots wife guilty ch 6/29/80",Domestic,,,,
sus 80` killed self 2/5/64before,refer 3/31/82 call re executions,"sus 80` killed self 2/5/64before, refer 3/31/82 call re executions",,,,,
kills cabman who stole ear ring,,"kills cabman who stole ear ring, ",,,,,
over north and south,,"over north and south, ",,,,,
Brothel,,"Brothel, ",,,,,
,sentencing info,", sentencing info",,,,,
domestic,also stabbed self. dismissed 12/31./82 c,"domestic, also stabbed self. dismissed 12/31./82 c",Domestic,,,,
over wife,mans guilty 10/8/63,"over wife, mans guilty 10/8/63",,,,,
Pony saloon,over horse race 5/1/not guilt,"Pony saloon, over horse race 5/1/not guilt",,,Saloon,,
saloon May 28 explained,cont line bet SJ and SB rod.,"saloon May 28 explained, cont line bet SJ and SB rod.",,,Saloon,,
bus dispute,died of wounds 6/17,"bus dispute, died of wounds 6/17",,,,,
business dispute 6/17  2 more,,"business dispute 6/17  2 more, ",,,,,
bus dispute,died of wounds 6/17,"bus dispute, died of wounds 6/17",,,,,
by thrown box-sudden,fite sudden,"by thrown box-sudden, fite sudden",,,,,
domestic,on spree stabbed,"domestic, on spree stabbed",Domestic,,,,
sus 801 parents kill kid,then suicide,"sus 801 parents kill kid, then suicide",,,,,
Wallace also) drunken,10/30 convicted - per direict?,"Wallace also) drunken, 10/30 convicted - per direict?",,,,,
(Mock date),sentencing info,"(Mock date), sentencing info",,,,,
unknown,10years . 2/15/64 direct,"unknown, 10years . 2/15/64 direct",,,,,
domestic,10 yrs per call 12/31/82,"domestic, 10 yrs per call 12/31/82",Domestic,,,,
vic. bord hous run(Bus),,"vic. bord hous run(Bus), ",,,,,
domestic,,"domestic, ",Domestic,,,,
saloon,,"saloon, ",,,Saloon,,
domestic,life call12/31/82,"domestic, life call12/31/82",Domestic,,,,
,sentencing info,", sentencing info",,,,,
by soldier (saloon),insane from liquor,"by soldier (saloon), insane from liquor",,,Saloon,,
both soldiers(saloon,tried as civilian evens so,"both soldiers(saloon, tried as civilian evens so",,,Saloon,,
=+Ah Pin+ Ah Foo,triple suspects?,"=+Ah Pin+ Ah Foo, triple suspects?",,,,,
affray,,"affray, ",,,,,
hanged 1/22/66(business),nr. toll house Potrero & 25th,"hanged 1/22/66(business), nr. toll house Potrero & 25th",,,,,
insane shoots saloon,Dies 2/4/65,"insane shoots saloon, Dies 2/4/65",,,Saloon,,
domestic,"threw it , she burned, 2nd degree 20 years","domestic, threw it , she burned, 2nd degree 20 years",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
Domestic,desertion and leading fast life,"Domestic, desertion and leading fast life",Domestic,,,,
domestic,saloon sporting man,"domestic, saloon sporting man",Domestic,,Saloon,,
drunk kill grocer(saloon),hanged 4/28/66,"drunk kill grocer(saloon), hanged 4/28/66",,,Saloon,,
Sentence date (Unknown),went nuts later to Stockton,"Sentence date (Unknown), went nuts later to Stockton",,,,,
barricades insane,shot by police,"barricades insane, shot by police",,,,,
barricade insane,Eureka hose company,"barricade insane, Eureka hose company",,,,,
fight over drinks saloon,16 yres 2/12/66,"fight over drinks saloon, 16 yres 2/12/66",,,Saloon,,
running quarrel residence,mutual shoot. acquitted.,"running quarrel residence, mutual shoot. acquitted.",,,,,
dispute re prizfit,,"dispute re prizfit, ",,,,,
land,,"land, ",,,,,
Saloon dispute,,"Saloon dispute, ",,,Saloon,,
dies in affray,fight cuts all not ided Italians,"dies in affray, fight cuts all not ided Italians",,,,,
street fight,mans 9/27/67,"street fight, mans 9/27/67",,,,,
Saloon dispute,,"Saloon dispute, ",,,Saloon,,
prostitute murder,,"prostitute murder, ",,,,,
,sentencing info,", sentencing info",,,,,
saloon,intervenor,"saloon, intervenor",,,Saloon,,
domestic,"a good one, acquitted CA 8/9/94 betrayer","domestic, a good one, acquitted CA 8/9/94 betrayer",Domestic,,,,
inquest 12/17,,"inquest 12/17, ",,,,,
Brothel ?,1/6/68 inquest date,"Brothel ?, 1/6/68 inquest date",,,,,
over Bs Wife,Died jun 9 inques Jun 15?,"over Bs Wife, Died jun 9 inques Jun 15?",,,,,
wife off balcony,Inquest 6/5/68,"wife off balcony, Inquest 6/5/68",,,,,
inquest date,thrown piece of clay,"inquest date, thrown piece of clay",,,,,
sus 801,inquest 8/26/69,"sus 801, inquest 8/26/69",,,,,
fract. skull,both 10 years,"fract. skull, both 10 years",,,,,
sus 801 gay?,inquest 11/10/68,"sus 801 gay?, inquest 11/10/68",,,,,
,inquest 12/15/69  Justified?,", inquest 12/15/69  Justified?",,,,,
saloon beef,also Green,"saloon beef, also Green",,,Saloon,,
,stabbed by partner,", stabbed by partner",,,,,
Geo. Chubbie?,inquest 12/29/68,"Geo. Chubbie?, inquest 12/29/68",,,,,
suffocated-this was murder,inquest (first since hanging),"suffocated-this was murder, inquest (first since hanging)",,,,,
slave trade 6 comp tries to stop. N.B.,See bu 1/25/69 hangs self 4/9,"slave trade 6 comp tries to stop. N.B., See bu 1/25/69 hangs self 4/9",,,,,
Inquest date,forced from lodging,"Inquest date, forced from lodging",,,,,
partners,Bu 3/3/69?,"partners, Bu 3/3/69?",,,,,
boundary disput,inquest 3/11/69,"boundary disput, inquest 3/11/69",,,,,
bus dispute,inquest 4/12/69,"bus dispute, inquest 4/12/69",,,,,
inquest date,poisoned??,"inquest date, poisoned??",,,,,
inquest date,uncertain who held gun,"inquest date, uncertain who held gun",,,,,
hoods?see 69 file,Inquest  7/19/69,"hoods?see 69 file, Inquest  7/19/69",,,,,
Dep. Sher .shoots,inquest date,"Dep. Sher .shoots, inquest date",,,,,
laundry,,"laundry, ",,,,,
to hang suicide,Inq 9/28/69 --bul 9/24/69,"to hang suicide, Inq 9/28/69 --bul 9/24/69",,,,,
sus 801 by suitor,inquest  10/14/69j,"sus 801 by suitor, inquest  10/14/69j",,,,,
inquest date,shot by unknown,"inquest date, shot by unknown",,,,,
Inquest date,by Carr and Kyle,"Inquest date, by Carr and Kyle",,,,,
kicked,,"kicked, ",,,,,
inquest date,fracture,"inquest date, fracture",,,,,
boundary disput,Bull 11/15/69,"boundary disput, Bull 11/15/69",,,,,
saloon,stabbed,"saloon, stabbed",,,Saloon,,
saloon,,"saloon, ",,,Saloon,,
arrest date,poisened for property,"arrest date, poisened for property",,,,,
drunken dispte,Barbary coast saloon,"drunken dispte, Barbary coast saloon",,,Saloon,,
sex crime,dies inQ,"sex crime, dies inQ",,,,,
saloon,drunks falling out,"saloon, drunks falling out",,,Saloon,,
running fight,CA 3/11/70,"running fight, CA 3/11/70",,,,,
women fight men intervene,Ca 12/23/71,"women fight men intervene, Ca 12/23/71",,,,,
called nameshot,10 years says direct,"called nameshot, 10 years says direct",,,,,
impromt duel,between pro gamblers,"impromt duel, between pro gamblers",,Gamble,,,
saloon,mansl charge so not on Direc list?,"saloon, mansl charge so not on Direc list?",,,Saloon,,
infanticide,almost severs head,"infanticide, almost severs head",,,,,
woman kills paramour back to wife,,"woman kills paramour back to wife, ",,,,,
over woman,2 pro gamblers over whore,"over woman, 2 pro gamblers over whore",,Gamble,,,
Bitten in fight,Ca 12/20/70,"Bitten in fight, Ca 12/20/70",,,,,
over $20 debt money,Ca 12/21/70,"over $20 debt money, Ca 12/21/70",,,,,
ruined his sister 16,acquitted,"ruined his sister 16, acquitted",,,,,
opium den(money),over opium pipe,"opium den(money), over opium pipe",,,,,
,he abuse she nut? Domestic,", he abuse she nut? Domestic",Domestic,,,,
domestic,left family for him,"domestic, left family for him",Domestic,,,,
Hoods attack inoffensive,mob of Hoods.,"Hoods attack inoffensive, mob of Hoods.",,,,,
dispute re kindling,,"dispute re kindling, ",,,,,
,CA 7/1/71 in general row,", CA 7/1/71 in general row",,,,,
saloon fight,10 years Mansl,"saloon fight, 10 years Mansl",,,Saloon,,
street quarrel,,"street quarrel, ",,,,,
by ranger in saloon,who says both fatal,"by ranger in saloon, who says both fatal",,,Saloon,,
shot wrong guy in political dispute,,"shot wrong guy in political dispute, ",,,,,
in opium den disp or Ah Wah by Ah chew,CA 9/5/71,"in opium den disp or Ah Wah by Ah chew, CA 9/5/71",,,,,
Boatmen dispute,,"Boatmen dispute, ",,,,,
charged wi murder in drowning,,"charged wi murder in drowning, ",,,,,
domestic?,pigs in parlor,"domestic?, pigs in parlor",Domestic,,,,
sus was harassing v's mom in law,,"sus was harassing v's mom in law, ",,,,,
,sentencing data,", sentencing data",,,,,
fight,,"fight, ",,,,,
thrown out - hits head,,"thrown out - hits head, ",,,,,
stabs man fighting uncle,,"stabs man fighting uncle, ",,,,,
saloon cards,,"saloon cards, ",,,Saloon,,
,10/23 guilty - 45 years,", 10/23 guilty - 45 years",,,,,
Grocer onDrunk,Pollack hit first?,"Grocer onDrunk, Pollack hit first?",,,,,
domestic/drink,v. aka Zimmerman,"domestic/drink, v. aka Zimmerman",Domestic,,,,
prostitute murder,see 5/28 and 11/17,"prostitute murder, see 5/28 and 11/17",,,,,
fite West end saloon,one year 5/10/73,"fite West end saloon, one year 5/10/73",,,Saloon,,
previous fite. Money,CA 7/3/72,"previous fite. Money, CA 7/3/72",,,,,
trivial dispute,11/10/72 trial 3/29/73 mansl,"trivial dispute, 11/10/72 trial 3/29/73 mansl",,,,,
Sus 801,domestic,"Sus 801, domestic",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
dispute over blacksmith toolst,,"dispute over blacksmith toolst, ",,,,,
card game,sus dies in jail,"card game, sus dies in jail",,,,,
3rd party in coaster fit. Mistak,long record  jury disagrees 4/29/73,"3rd party in coaster fit. Mistak, long record  jury disagrees 4/29/73",,,,,
hoods 17-18,2 years 8/30/73,"hoods 17-18, 2 years 8/30/73",,,,,
trivial dispute,hanged in July,"trivial dispute, hanged in July",,,,,
by a boy,,"by a boy, ",,,,,
fight in front of saloon,victim crippled coaster,"fight in front of saloon, victim crippled coaster",,,Saloon,,
live in lover,married to other black man,"live in lover, married to other black man",,,,,
directory doesn't say,,"directory doesn't say, ",,,,,
3rd party wom.,jury disagrres 1/8/74,"3rd party wom., jury disagrres 1/8/74",,,,,
domestic cop,acquitted eventually,"domestic cop, acquitted eventually",Domestic,,,,
drunk friends,,"drunk friends, ",,,,,
domestic,good one,"domestic, good one",Domestic,,,,
politics argue,,"politics argue, ",,,,,
sheehan salon.,dies later of complications,"sheehan salon., dies later of complications",,,,,
daughter honor?,may discharge by GJ,"daughter honor?, may discharge by GJ",,,,,
direct doesn't say why,one day in state prison,"direct doesn't say why, one day in state prison",,,,,
direct doesn't say why,,"direct doesn't say why, ",,,,,
hate crime,Manning gets life 3/6/74,"hate crime, Manning gets life 3/6/74",,,,,
domestic,other woman/money,"domestic, other woman/money",Domestic,,,,
Irate father,wouldn't marry daughter insulted,"Irate father, wouldn't marry daughter insulted",,,,,
polling place,exhonorated,"polling place, exhonorated",,,,,
matricide?,A hunkler 5 yrs 5/22/74?,"matricide?, A hunkler 5 yrs 5/22/74?",,,,,
name mixup? See Ch2/2/74,,"name mixup? See Ch2/2/74, ",,,,,
drunk in Sail hou,1/7/76 manslaughter conviction,"drunk in Sail hou, 1/7/76 manslaughter conviction",,,,,
saloon.,4/24 Freel convicted 2nd degree,"saloon., 4/24 Freel convicted 2nd degree",,,Saloon,,
Domestic,hacked badly,"Domestic, hacked badly",Domestic,,,,
Duffield arrests guy,,"Duffield arrests guy, ",,,,,
kills drunk beating wife,,"kills drunk beating wife, ",,,,,
saloon domestic,keeper kills wife,"saloon domestic, keeper kills wife",Domestic,,Saloon,,
domestic,,"domestic, ",Domestic,,,,
Triangle over Rita Martinez,arrested,"Triangle over Rita Martinez, arrested",,,,,
Hazed him into it. Sus 801,insane. practical joke awry,"Hazed him into it. Sus 801, insane. practical joke awry",,,,,
Card sharks  hoodlums- in saloon drunk,,"Card sharks  hoodlums- in saloon drunk, ",,,Saloon,,
Sus tries 801 . Gay?didn’t like bride,no approve wedding,"Sus tries 801 . Gay?didn’t like bride, no approve wedding",,,,,
different from above guy,,"different from above guy, ",,,,,
Fitzpatrick accessory,see also Call 4/13 and 4/18,"Fitzpatrick accessory, see also Call 4/13 and 4/18",,,,,
saloon,date of death see also Ca 1/23/75,"saloon, date of death see also Ca 1/23/75",,,Saloon,,
fight,struggle over gun in fight,"fight, struggle over gun in fight",,,,,
fight with hoodlums and French,"Ken,sulli,Murphy, discharged5/22","fight with hoodlums and French, Ken,sulli,Murphy, discharged5/22",,,,,
triangle?,,"triangle?, ",,,,,
harassing chinese,,"harassing chinese, ",,,,,
Drunk Triangle,approx date,"Drunk Triangle, approx date",,,,,
,Ch 7/24/74,", Ch 7/24/74",,,,,
domestic,acquit,"domestic, acquit",Domestic,,,,
domestic,gets life,"domestic, gets life",Domestic,,,,
domestic,burned to death,"domestic, burned to death",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
saloon dice game,young rowdies Ch 9/27/74,"saloon dice game, young rowdies Ch 9/27/74",,,Saloon,,
187 indict per Ch 12/15/74 ch,Direct vic says O'Connor,"187 indict per Ch 12/15/74 ch, Direct vic says O'Connor",,,,,
domestic,mock date,"domestic, mock date",Domestic,,,,
forced OD of girl in Brothel.,"no give up money , so","forced OD of girl in Brothel., no give up money , so",,,,,
steve/mate disp- 187 indict ch 12/15,stevedor and mate dispute,"steve/mate disp- 187 indict ch 12/15, stevedor and mate dispute",,,,,
domestic,,"domestic, ",Domestic,,,,
parracide,may be mental,"parracide, may be mental",,,,,
drunk wife wont reconcile,ch 12/15 indicted,"drunk wife wont reconcile, ch 12/15 indicted",,,,,
,SEE AH DUCK 12/9/82,", SEE AH DUCK 12/9/82",,,,,
slays child to revenge abuse,indict 187 12/15 Ch,"slays child to revenge abuse, indict 187 12/15 Ch",,,,,
aged child molester? Not mourned,improper advances,"aged child molester? Not mourned, improper advances",,,,,
saloon,v. wouldn't buy drink,"saloon, v. wouldn't buy drink",,,Saloon,,
not in Chron this year . Read it all,,"not in Chron this year . Read it all, ",,,,,
sudden fight,,"sudden fight, ",,,,,
saloon angle,"v.aka McNamara, 5 stabs","saloon angle, v.aka McNamara, 5 stabs",,,Saloon,,
stabbed in back,seen by young boy,"stabbed in back, seen by young boy",,,,,
bar fight,v. a local crook,"bar fight, v. a local crook",,,,,
shoots wrong kid,old man shoots at hoods torment,"shoots wrong kid, old man shoots at hoods torment",,,,,
drunk duel,coast low lifes take up  wom beef,"drunk duel, coast low lifes take up  wom beef",,,,,
v call s. Irish dog,date approx.sailor boarders fight,"v call s. Irish dog, date approx.sailor boarders fight",,,,,
brothel,different from below,"brothel, different from below",,,,,
,hit  strangled left to die,", hit  strangled left to die",,,,,
Fight,vvicitm sailor,"Fight, vvicitm sailor",,,,,
killer binder shakes girls money,also Chu Ah Chat,"killer binder shakes girls money, also Chu Ah Chat",,,,,
mental,dad goes nuts,"mental, dad goes nuts",,,,,
domestic/jealousy,,"domestic/jealousy, ",Domestic,,,,
by watchman,charged with murder,"by watchman, charged with murder",,,,,
fight,boarding house runners,"fight, boarding house runners",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
walking down street,,"walking down street, ",,,,,
Sus 801,domestic,"Sus 801, domestic",Domestic,,,,
brothel/drunk/saloon,dr bother girl shoots keeper,"brothel/drunk/saloon, dr bother girl shoots keeper",,,Saloon,,
fight,11/17 convict manslaughter,"fight, 11/17 convict manslaughter",,,,,
land /tenant,evicted tenant kilss landlord,"land /tenant, evicted tenant kilss landlord",,,,,
Drunk street fite,two sporting men,"Drunk street fite, two sporting men",,,,,
common law,domestic,"common law, domestic",Domestic,,,,
fratricide,"v. med stud, s cutsself 9/30/76?","fratricide, v. med stud, s cutsself 9/30/76?",,,,,
breach promise,kills departing seducer,"breach promise, kills departing seducer",,,,,
sus 801,errrant wife,"sus 801, errrant wife",,,,,
over money,1876 report p 212.,"over money, 1876 report p 212.",,,,,
altercation 2 weeks ago,,"altercation 2 weeks ago, ",,,,,
by grand jury,manslaughter-indict. Date,"by grand jury, manslaughter-indict. Date",,,,,
sus 801,domestic husband,"sus 801, domestic husband",Domestic,,,,
asked for money,Aka Ah Sue hangs  5/4/77,"asked for money, Aka Ah Sue hangs  5/4/77",,,,,
partners fall out,butchers over $45,"partners fall out, butchers over $45",,,,,
rejected suitor,led 3 along marry one,"rejected suitor, led 3 along marry one",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic by wife,,"domestic by wife, ",Domestic,,,,
,"call summary Jan 1,1877",", call summary Jan 1,1877",,,,,
Labor trouble?,big fight . is this same case?,"Labor trouble?, big fight . is this same case?",,,,,
direct no cause,had wrong date before!!!,"direct no cause, had wrong date before!!!",,,,,
shoots friend,while fighting Mexican,"shoots friend, while fighting Mexican",,,,,
,not in press list,", not in press list",,,,,
,"Semorillo,Pablo? guilty 3/19/77byram",", Semorillo,Pablo? guilty 3/19/77byram",,,,,
hoods attack also Hicks,not caught 30 watched,"hoods attack also Hicks, not caught 30 watched",,,,,
